Stock name,hba-stock,,,,,
State,Chemical Abbreviation,Order,Maximum Concentration,Stock 1 Nominal Concentration,Stock 1 Experimental Concentration,Concentration Units
solid,NaCl,primary,5,3,,M
solid,Butenedioicacid,primary,1,1,,M
liquid,Water,secondary,,,,volume fraction
Stock name,hbd-stock,,,,,
State,Chemical Abbreviation,,Maximum Concentration,Stock 1 Nominal Concentration,Stock 1 Experimental Concentration,Concentration Units
solid,chcl,primary,5,3,,M
liquid,Water,secondary,,,,volume fraction
Stock name,Water,,,,,
State,Chemical Abbreviation,,Maximum Concentration,Stock 1 Nominal Concentration,Stock 1 Experimental Concentration,Concentration Units
liquid,Water,pimary,,1,,volume fraction
